Dataset	PlexID
PTRC_EX14_H_P02_P_F01_10Dec20_Remus_WBEH-20-09-17	P02
PTRC_EX14_H_P03_P_F01_10Dec20_Remus_WBEH-20-09-17	P03
PTRC_EX14_H_P04_P_F01_10Dec20_Remus_WBEH-20-09-17	P04
PTRC_EX14_H_P01_P_F01_10Dec20_Remus_WBEH-20-09-17	P01
PTRC_EX14_H_P03_P_F02_10Dec20_Remus_WBEH-20-09-17	P03
PTRC_EX14_H_P02_P_F02_10Dec20_Remus_WBEH-20-09-17	P02
PTRC_EX14_H_P04_P_F02_10Dec20_Remus_WBEH-20-09-17	P04
PTRC_EX14_H_P01_P_F02_10Dec20_Remus_WBEH-20-09-17	P01
PTRC_EX14_H_P03_P_F04_12Dec20_Remus_WBEH-20-09-17	P03
PTRC_EX14_H_P01_P_F04_12Dec20_Remus_WBEH-20-09-17	P01
PTRC_EX14_H_P04_P_F04_12Dec20_Remus_WBEH-20-09-17	P04
PTRC_EX14_H_P02_P_F04_12Dec20_Remus_WBEH-20-09-17	P02
PTRC_EX14_H_P02_P_F05_12Dec20_Remus_WBEH-20-09-17	P02
PTRC_EX14_H_P01_P_F05_12Dec20_Remus_WBEH-20-09-17	P01
PTRC_EX14_H_P03_P_F05_12Dec20_Remus_WBEH-20-09-17	P03
PTRC_EX14_H_P04_P_F05_12Dec20_Remus_WBEH-20-09-17	P04
PTRC_EX14_H_P03_P_F06_12Dec20_Remus_WBEH-20-09-17	P03
PTRC_EX14_H_P02_P_F06_12Dec20_Remus_WBEH-20-09-17	P02
PTRC_EX14_H_P04_P_F06_12Dec20_Remus_WBEH-20-09-17	P04
PTRC_EX14_H_P01_P_F06_12Dec20_Remus_WBEH-20-09-17	P01
PTRC_EX14_H_P03_P_F03_14Dec20_Remus_WBEH-20-09-17	P03
PTRC_EX14_H_P04_P_F03_14Dec20_Remus_WBEH-20-09-17	P04
PTRC_EX14_H_P01_P_F03_14Dec20_Remus_WBEH-20-09-17	P01
PTRC_EX14_H_P02_P_F03_14Dec20_Remus_WBEH-20-09-17	P02
PTRC_EX14_H_P02_P_F07_15Dec20_Remus_WBEH-20-09-17	P02
PTRC_EX14_H_P03_P_F07_15Dec20_Remus_WBEH-20-09-17	P03
PTRC_EX14_H_P01_P_F07_15Dec20_Remus_WBEH-20-09-17	P01
PTRC_EX14_H_P03_P_F08_15Dec20_Remus_WBEH-20-09-17	P03
PTRC_EX14_H_P02_P_F08_15Dec20_Remus_WBEH-20-09-17	P02
PTRC_EX14_H_P01_P_F08_15Dec20_Remus_WBEH-20-09-17	P01
PTRC_EX14_H_P04_P_F09_15Dec20_Remus_WBEH-20-09-17	P04
PTRC_EX14_H_P03_P_F09_15Dec20_Remus_WBEH-20-09-17	P03
PTRC_EX14_H_P01_P_F09_15Dec20_Remus_WBEH-20-09-17	P01
PTRC_EX14_H_P02_P_F09_15Dec20_Remus_WBEH-20-09-17	P02
PTRC_EX14_H_P01_P_F10_15Dec20_Remus_WBEH-20-09-17	P01
PTRC_EX14_H_P02_P_F10_15Dec20_Remus_WBEH-20-09-17	P02
PTRC_EX14_H_P04_P_F10_15Dec20_Remus_WBEH-20-09-17	P04
PTRC_EX14_H_P03_P_F10_15Dec20_Remus_WBEH-20-09-17	P03
PTRC_EX14_H_P04_P_F07_21Dec20_Remus_WBEH-20-09-17	P04
PTRC_EX14_H_P04_P_F08_21Dec20_Remus_WBEH-20-09-17	P04
PTRC_EX14_H_P04_P_F11_21Dec20_Remus_WBEH-20-09-17	P04
PTRC_EX14_H_P03_P_F11_21Dec20_Remus_WBEH-20-09-17	P03
PTRC_EX14_H_P02_P_F11_21Dec20_Remus_WBEH-20-09-17	P02
PTRC_EX14_H_P01_P_F11_21Dec20_Remus_WBEH-20-09-17	P01
PTRC_EX14_H_P01_P_F12_23Dec20_Remus_WBEH-20-09-17	P01
PTRC_EX14_H_P03_P_F12_23Dec20_Remus_WBEH-20-09-17	P03
PTRC_EX14_H_P02_P_F12_23Dec20_Remus_WBEH-20-09-17	P02
PTRC_EX14_H_P04_P_F12_23Dec20_Remus_WBEH-20-09-17	P04
